country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ghana,11056.12,11401.62,11747.12,12092.61,12438.11,12783.61,13181.55,13579.48,13977.41,14375.34,14773.28,15221.43,15669.59,16117.75,16565.9,17014.06,17467.02,17919.98,18372.94,18825.9,19278.86,19786.01,20293.17,20800.33,21307.48,21814.64,22407.64,23000.63,23593.63,24186.62,24779.62,25393.54,26007.45,26621.37,27235.29,27849.21,28493.95,29138.7,29473.4
Greece,9657.086,9736.481,9797.423,9852.995,9901.726,9938.0,9971.741,10004.41,10042.26,10097.35,10215.76,10331.73,10407.04,10467.78,10518.68,10568.7,10613.92,10669.25,10727.33,10765.18,10813.36,10868.67,10905.46,10931.15,10958.83,10991.66,11024.27,11051.59,11082.07,11110.08,11121.85,11100.28,11034.66,10955.61,10883.81,10811.6,10774.03,10751.3,10672.6
Greenland,50.178999999999995,50.7812,51.3834,51.9856,52.5878,53.19,53.6728,54.1556,54.6384,55.1212,55.604,55.6454,55.6868,55.7282,55.7696,55.81100000000001,55.8838,55.9566,56.0294,56.1022,56.175,56.3302,56.4854,56.6406,56.7958,56.951,56.8884,56.8258,56.7632,56.7006,56.638000000000005,56.5858,56.5336,56.4814,56.4292,56.376999999999995,56.456,56.535,56.6
Grenada,89.005,91.1852,93.3654,95.5456,97.7258,99.906,99.1814,98.4568,97.7322,97.0076,96.28299999999999,97.0774,97.8718,98.6662,99.4606,100.255,100.5278,100.8006,101.0734,101.3462,101.619,101.885,102.15100000000001,102.417,102.68299999999999,102.949,103.2946,103.6402,103.9858,104.3314,104.677,105.1062,105.5354,105.9646,106.3938,106.823,107.32,107.81700000000001,108.3
Guadeloupe,330.17699999999996,335.376,340.575,345.773,350.972,356.171,362.11199999999997,368.05400000000003,373.995,379.93699999999995,385.87800000000004,389.29,392.702,396.11300000000006,399.525,402.93699999999995,407.279,411.621,415.962,420.30400000000003,424.64599999999996,427.62699999999995,430.608,433.59,436.57099999999997,439.55199999999996,441.785,444.01800000000003,446.25199999999995,448.485,450.718,450.658,450.598,450.538,450.478,450.418,450.02,449.62199999999996,449.2
Guatemala,7283.459,7474.779,7666.1,7857.419,8048.74,8240.06,8444.811,8649.562,8854.312,9059.063,9263.813,9492.748,9721.684000000001,9950.618,10179.55,10408.49,10656.94,10905.39,11153.84,11402.29,11650.74,11939.8,12228.86,12517.91,12806.97,13096.03,13402.91,13709.78,14016.66,14323.54,14630.42,14954.82,15279.22,15603.62,15928.03,16252.43,16584.11,16915.78,17247.5
Guinea,4511.902,4626.475,4741.048,4855.621,4970.194,5084.767,5276.031999999999,5467.298000000001,5658.563,5849.829000000001,6041.094,6407.11,6773.125,7139.142,7505.156999999999,7871.173000000001,8058.647,8246.122,8433.597,8621.071,8808.546,8982.786,9157.025,9331.266,9505.505,9679.745,9902.63,10125.51,10348.4,10571.29,10794.17,11053.64,11313.12,11572.59,11832.06,12091.53,12423.39,12755.25,13087.1
Guinea-Bissau,800.8539999999999,820.585,840.316,860.047,879.778,899.5089999999999,922.063,944.617,967.172,989.7260000000001,1012.28,1037.25,1062.22,1087.19,1112.15,1137.12,1158.34,1179.56,1200.79,1222.01,1243.23,1270.75,1298.27,1325.79,1353.32,1380.84,1415.85,1450.85,1485.86,1520.87,1555.88,1598.81,1641.74,1684.67,1727.6,1770.53,1816.56,1862.59,1908.6
Guyana,780.153,778.2094,776.2658,774.3222,772.3786,770.435,765.0098,759.5846,754.1594,748.7342,743.309,746.9054,750.5018,754.0982,757.6946,761.291,759.693,758.095,756.497,754.8989999999999,753.301,752.83,752.3589999999999,751.888,751.4169999999999,750.946,750.068,749.19,748.312,747.434,746.556,750.9476,755.3392,759.7308,764.1224,768.5139999999999,772.9676,777.4212,781.9
Haiti,5688.835999999999,5827.908,5966.979,6106.0509999999995,6245.1230000000005,6384.195,6527.302,6670.41,6813.517,6956.625,7099.732,7243.746999999999,7387.762,7531.776,7675.791,7819.806,7965.685,8111.563,8257.442,8403.321,8549.2,8692.041,8834.882,8977.723,9120.563,9263.404,9410.646,9557.89,9705.132,9852.374,9999.617,10141.91,10284.19,10426.48,10568.77,10711.06,10843.09,10975.11,11107.1
